date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:50:23	1115/1115	---MCZ	200	added ('OK')	application/javascript	etag:W/%2259ed5827-45b%22	https://ngoc-thien.com/wp-content/cache/busting/1/wp-includes-js-hoverIntent.min-1.8.1.js	D:/WEB/webwedding/ngoc-thien.com/wp-content/cache/busting/1/wp-includes-js-hoverIntent.min-1.8.1.js	(from https://ngoc-thien.com/)
14:50:23	139780/139780	---MCZ	200	added ('OK')	application/javascript	etag:W/%2259ed5827-22204%22	https://ngoc-thien.com/wp-content/cache/busting/1/wp-content-themes-flatsome-assets-js-flatsome-3.4.0.js	D:/WEB/webwedding/ngoc-thien.com/wp-content/cache/busting/1/wp-content-themes-flatsome-assets-js-flatsome-3.4.0.js	(from https://ngoc-thien.com/)
14:50:23	3900/3900	---MCZ	200	added ('OK')	application/javascript	etag:W/%2259e6022b-f3c%22	https://ngoc-thien.com/wp-content/themes/flatsome/inc/shortcodes/ux_countdown/countdown-script-min.js	D:/WEB/webwedding/ngoc-thien.com/wp-content/themes/flatsome/inc/shortcodes/ux_countdown/countdown-script-min.js	(from https://ngoc-thien.com/)
14:50:24	2022/2022	---MCZ	200	added ('OK')	application/javascript	etag:W/%2259ed5827-7e6%22	https://ngoc-thien.com/wp-content/cache/busting/1/wp-content-themes-flatsome-inc-shortcodes-ux_countdown-ux-countdown-3.2.6.js	D:/WEB/webwedding/ngoc-thien.com/wp-content/cache/busting/1/wp-content-themes-flatsome-inc-shortcodes-ux_countdown-ux-countdown-3.2.6.js	(from https://ngoc-thien.com/)
14:50:24	33043/33043	---MCZ	200	added ('OK')	application/javascript	etag:W/%2259ed5827-8113%22	https://ngoc-thien.com/wp-content/cache/busting/1/wp-content-themes-flatsome-assets-libs-packery.pkgd.min-3.4.0.js	D:/WEB/webwedding/ngoc-thien.com/wp-content/cache/busting/1/wp-content-themes-flatsome-assets-libs-packery.pkgd.min-3.4.0.js	(from https://ngoc-thien.com/)
14:50:24	7090/7090	---M--	200	added ('OK')	image/png	etag:%2259e6b4eb-1bb2%22	https://ngoc-thien.com/wp-content/plugins/soundy-background-music/css/jquery-ui-1.12.1/images/ui-icons_444444_256x240.png	D:/WEB/webwedding/ngoc-thien.com/wp-content/plugins/soundy-background-music/css/jquery-ui-1.12.1/images/ui-icons_444444_256x240.png	(from https://ngoc-thien.com/wp-content/plugins/soundy-background-music/css/jquery-ui-1.12.1/jquery-ui.css)
14:50:24	7074/7074	---M--	200	added ('OK')	image/png	etag:%2259e6b4eb-1ba2%22	https://ngoc-thien.com/wp-content/plugins/soundy-background-music/css/jquery-ui-1.12.1/images/ui-icons_555555_256x240.png	D:/WEB/webwedding/ngoc-thien.com/wp-content/plugins/soundy-background-music/css/jquery-ui-1.12.1/images/ui-icons_555555_256x240.png	(from https://ngoc-thien.com/wp-content/plugins/soundy-background-music/css/jquery-ui-1.12.1/jquery-ui.css)
14:50:25	6487/6487	---M--	200	added ('OK')	image/png	etag:%2259e6b4eb-1957%22	https://ngoc-thien.com/wp-content/plugins/soundy-background-music/css/jquery-ui-1.12.1/images/ui-icons_ffffff_256x240.png	D:/WEB/webwedding/ngoc-thien.com/wp-content/plugins/soundy-background-music/css/jquery-ui-1.12.1/images/ui-icons_ffffff_256x240.png	(from https://ngoc-thien.com/wp-content/plugins/soundy-background-music/css/jquery-ui-1.12.1/jquery-ui.css)
14:50:25	4676/4676	---M--	200	added ('OK')	image/png	etag:%2259e6b4eb-1244%22	https://ngoc-thien.com/wp-content/plugins/soundy-background-music/css/jquery-ui-1.12.1/images/ui-icons_777620_256x240.png	D:/WEB/webwedding/ngoc-thien.com/wp-content/plugins/soundy-background-music/css/jquery-ui-1.12.1/images/ui-icons_777620_256x240.png	(from https://ngoc-thien.com/wp-content/plugins/soundy-background-music/css/jquery-ui-1.12.1/jquery-ui.css)
14:50:25	4676/4676	---M--	200	added ('OK')	image/png	etag:%2259e6b4eb-1244%22	https://ngoc-thien.com/wp-content/plugins/soundy-background-music/css/jquery-ui-1.12.1/images/ui-icons_cc0000_256x240.png	D:/WEB/webwedding/ngoc-thien.com/wp-content/plugins/soundy-background-music/css/jquery-ui-1.12.1/images/ui-icons_cc0000_256x240.png	(from https://ngoc-thien.com/wp-content/plugins/soundy-background-music/css/jquery-ui-1.12.1/jquery-ui.css)
